Team,Wiki
AFC Bournemouth,https://en.wikipedia.org/wiki/List_of_AFC_Bournemouth_seasons
Arsenal,https://en.wikipedia.org/wiki/List_of_Arsenal_F.C._seasons
Aston Villa,https://en.wikipedia.org/wiki/List_of_Aston_Villa_F.C._seasons
Brighton & Hove Albion,https://en.wikipedia.org/wiki/List_of_Brighton_%26_Hove_Albion_F.C._seasons
Burnley,https://en.wikipedia.org/wiki/List_of_Burnley_F.C._seasons
Cardiff City,https://en.wikipedia.org/wiki/List_of_Cardiff_City_F.C._seasons
Chelsea,https://en.wikipedia.org/wiki/List_of_Chelsea_F.C._seasons
Crystal Palace,https://en.wikipedia.org/wiki/List_of_Crystal_Palace_F.C._seasons
Everton,https://en.wikipedia.org/wiki/List_of_Everton_F.C._seasons
Fulham,https://en.wikipedia.org/wiki/List_of_Fulham_F.C._seasons
Huddersfield Town,https://en.wikipedia.org/wiki/List_of_Huddersfield_Town_F.C._seasons
Leeds United,https://en.wikipedia.org/wiki/List_of_Leeds_United_F.C._seasons
Leicester City,https://en.wikipedia.org/wiki/List_of_Leicester_City_F.C._seasons
Liverpool,https://en.wikipedia.org/wiki/List_of_Liverpool_F.C._seasons
Luton Town,https://en.wikipedia.org/wiki/List_of_Luton_Town_F.C._seasons
Manchester City,https://en.wikipedia.org/wiki/List_of_Manchester_City_F.C._seasons
Manchester United,https://en.wikipedia.org/wiki/List_of_Manchester_United_F.C._seasons
Middlesbrough,https://en.wikipedia.org/wiki/List_of_Middlesbrough_F.C._seasons
Newcastle United,https://en.wikipedia.org/wiki/List_of_Newcastle_United_F.C._seasons
Norwich City,https://en.wikipedia.org/wiki/List_of_Norwich_City_F.C._seasons
Nottingham Forest,https://en.wikipedia.org/wiki/List_of_Nottingham_Forest_F.C._seasons
Sheffield United,https://en.wikipedia.org/wiki/List_of_Sheffield_United_F.C._seasons
Southampton,https://en.wikipedia.org/wiki/List_of_Southampton_F.C._seasons
Stoke City,https://en.wikipedia.org/wiki/List_of_Stoke_City_F.C._seasons
Sunderland,https://en.wikipedia.org/wiki/List_of_Sunderland_A.F.C._seasons
Swansea City,https://en.wikipedia.org/wiki/List_of_Swansea_City_A.F.C._seasons
Tottenham Hotspur,https://en.wikipedia.org/wiki/List_of_Tottenham_Hotspur_F.C._seasons
Watford,https://en.wikipedia.org/wiki/List_of_Watford_F.C._seasons
West Bromwich Albion,https://en.wikipedia.org/wiki/List_of_West_Bromwich_Albion_F.C._seasons
West Ham United,https://en.wikipedia.org/wiki/List_of_West_Ham_United_F.C._seasons
Wolverhampton Wanderers,https://en.wikipedia.org/wiki/List_of_Wolverhampton_Wanderers_F.C._seasons
